reply_id,measured_at,hours_since,views,likes,replies,reposts,quotes
18414096832151574,2026-07-30T02:01,10,7,0,0,0,0
18126517726737860,2026-07-30T02:01,10,58,5,0,0,0
18113460451862861,2026-07-30T02:01,10,13,0,0,0,0
18010602728930247,2026-07-30T02:01,13,56,3,0,0,0
17931213393124732,2026-07-30T02:01,16,28,0,0,0,0
17983014069028188,2026-07-30T02:01,19,68,0,0,0,0
18089446199418284,2026-07-30T02:01,33,249,2,0,0,0
18027814517665223,2026-07-30T02:01,34,95,0,0,0,0
18091042901115559,2026-07-30T02:01,41,96,1,0,0,0
17886816261437503,2026-07-30T02:01,44,93,1,0,0,0
18057203258774297,2026-07-30T02:01,45,221,6,0,0,0
17874632259623976,2026-07-30T02:01,59,268,2,0,0,0
17870667738567263,2026-07-30T02:01,59,28,1,0,0,0
17937437727323949,2026-07-30T02:01,59,650,6,0,0,0
17982872289045150,2026-07-30T02:01,59,139,0,0,0,0
17871551466652223,2026-07-30T02:01,60,218,1,0,0,0
18119316691662076,2026-07-30T02:01,60,128,0,0,0,0
18191811808388498,2026-07-30T02:01,68,61,0,0,0,0
18414096832151574,2026-07-30T02:31,10,7,0,0,0,0
18126517726737860,2026-07-30T02:31,10,61,5,0,0,0
18113460451862861,2026-07-30T02:31,11,13,0,0,0,0
18010602728930247,2026-07-30T02:31,14,56,3,0,0,0
17931213393124732,2026-07-30T02:31,17,28,0,0,0,0
17983014069028188,2026-07-30T02:31,20,69,0,0,0,0
18089446199418284,2026-07-30T02:31,34,249,2,0,0,0
18027814517665223,2026-07-30T02:31,34,95,0,0,0,0
18091042901115559,2026-07-30T02:31,42,96,1,0,0,0
17886816261437503,2026-07-30T02:31,45,93,1,0,0,0
18057203258774297,2026-07-30T02:31,46,221,6,0,0,0
17874632259623976,2026-07-30T02:31,59,268,2,0,0,0
17870667738567263,2026-07-30T02:31,60,28,1,0,0,0
17937437727323949,2026-07-30T02:31,60,651,6,0,0,0
17982872289045150,2026-07-30T02:31,60,139,0,0,0,0
17871551466652223,2026-07-30T02:31,60,218,1,0,0,0
18119316691662076,2026-07-30T02:31,61,128,0,0,0,0
18191811808388498,2026-07-30T02:31,69,61,0,0,0,0
18414096832151574,2026-07-30T03:01,11,7,0,0,0,0
18126517726737860,2026-07-30T03:01,11,61,5,0,0,0
18113460451862861,2026-07-30T03:01,11,13,0,0,0,0
18010602728930247,2026-07-30T03:01,14,56,3,0,0,0
17931213393124732,2026-07-30T03:01,17,28,0,0,0,0
17983014069028188,2026-07-30T03:01,20,69,0,0,0,0
18089446199418284,2026-07-30T03:01,34,249,2,0,0,0
18027814517665223,2026-07-30T03:01,35,95,0,0,0,0
18091042901115559,2026-07-30T03:01,42,97,1,0,0,0
17886816261437503,2026-07-30T03:01,45,93,1,0,0,0
18057203258774297,2026-07-30T03:01,46,221,6,0,0,0
17874632259623976,2026-07-30T03:01,60,269,2,0,0,0
17870667738567263,2026-07-30T03:01,60,28,1,0,0,0
17937437727323949,2026-07-30T03:01,60,652,6,0,0,0
17982872289045150,2026-07-30T03:01,60,139,0,0,0,0
17871551466652223,2026-07-30T03:01,61,218,1,0,0,0
18119316691662076,2026-07-30T03:01,61,128,0,0,0,0
18191811808388498,2026-07-30T03:01,69,61,0,0,0,0
18414096832151574,2026-07-30T03:31,11,7,0,0,0,0
18126517726737860,2026-07-30T03:31,11,62,5,0,0,0
18113460451862861,2026-07-30T03:31,12,13,0,0,0,0
18010602728930247,2026-07-30T03:31,15,56,3,0,0,0
17931213393124732,2026-07-30T03:31,18,28,0,0,0,0
17983014069028188,2026-07-30T03:31,21,69,0,0,0,0
18089446199418284,2026-07-30T03:31,35,249,2,0,0,0
18027814517665223,2026-07-30T03:31,35,95,0,0,0,0
18091042901115559,2026-07-30T03:31,43,97,1,0,0,0
17886816261437503,2026-07-30T03:31,46,93,1,0,0,0
18057203258774297,2026-07-30T03:31,47,221,6,0,0,0
17874632259623976,2026-07-30T03:31,60,269,2,0,0,0
17870667738567263,2026-07-30T03:31,61,28,1,0,0,0
17937437727323949,2026-07-30T03:31,61,652,6,0,0,0
17982872289045150,2026-07-30T03:31,61,139,0,0,0,0
17871551466652223,2026-07-30T03:31,61,218,1,0,0,0
18119316691662076,2026-07-30T03:31,62,128,0,0,0,0
18191811808388498,2026-07-30T03:31,70,61,0,0,0,0
18414096832151574,2026-07-30T04:01,12,7,0,0,0,0
18126517726737860,2026-07-30T04:01,12,62,5,0,0,0
18113460451862861,2026-07-30T04:01,12,13,0,0,0,0
18010602728930247,2026-07-30T04:01,15,56,3,0,0,0
17931213393124732,2026-07-30T04:01,18,28,0,0,0,0
17983014069028188,2026-07-30T04:01,21,69,0,0,0,0
18089446199418284,2026-07-30T04:01,35,249,2,0,0,0
18027814517665223,2026-07-30T04:01,36,95,0,0,0,0
18091042901115559,2026-07-30T04:01,43,97,1,0,0,0
